Label,Vulnerability Name,Package Name,Package Version,Type,Publish Date
M,Cross-site Scripting (XSS),org.webjars.npm:marked,"(,0.3.9)",Maven,"2,Dec,2017"
H,Cross-site Scripting (XSS),org.webjars.bower:marked,"(,0.3.9)",Maven,"2,Dec,2017"
M,Cross-site Scripting (XSS),org.webjars.bower:marked,"(,0.3.9)",Maven,"2,Dec,2017"
M,Cross-site Scripting (XSS),refinerycms-core,"&lt;3.0.2, &gt;&#x3D;2.0.0",RubyGems,"2,Dec,2017"
M,Cross-site Scripting (XSS),refinerycms-core,"&lt;3.0.2, &gt;&#x3D;2.0.0",RubyGems,"2,Dec,2017"
M,Cross-site Scripting (XSS),refinerycms-core,"&lt;3.0.2, &gt;&#x3D;2.0.0",RubyGems,"2,Dec,2017"
M,Cross-site Scripting (XSS),loofah,&lt;0.4.4,RubyGems,"2,Dec,2017"
M,Cross-site Scripting (XSS),swagger-ui,&lt;3.4.2,npm,"2,Dec,2017"
M,Cross-site Scripting (XSS),pure,&lt;2.86.0,npm,"2,Dec,2017"
M,Cross-site Scripting (XSS),hoek,&lt;0.7.3,npm,"1,Nov,2016"
H,Cross-site Scripting (XSS),react,"[,0.14.0)",NuGet,"0,Nov,2016"
M,Cross-site Scripting (XSS),react,"[0.5,0.5.2),[0.4,0.4.2)",NuGet,"0,Nov,2016"
M,Cross-site Scripting (XSS),moin,"[,1.9.9)",pip,"0,Nov,2016"
M,Cross-site Scripting (XSS),moin,"[,1.9.9)",pip,"0,Nov,2016"
M,Cross-site Scripting (XSS),moin,"[,1.9.8)",pip,"0,Nov,2016"
M,Cross-site Scripting (XSS),shout,&lt;0.51.2 &gt;&#x3D;0.38.0,npm,"3,Oct,2016"
M,Cross-site Scripting (XSS),bepasty,"[,0.3.0)",pip,"3,Oct,2016"
M,Cross-site Scripting (XSS),ezsystems/ezdemo-ls-extension,"&gt;&#x3D;5.4.0, &lt;5.4.2.1",Composer,"2,Apr,2020"
M,Cross-site Scripting (XSS),ezsystems/demobundle,"&gt;&#x3D;5.4.0, &lt;5.4.2.1",Composer,"2,Apr,2020"
M,Cross-site Scripting (XSS),lazysizes,&lt;5.2.1-rc1,npm,"2,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.npm:lazysizes,"[0,]",Maven,"2,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.afarkas:lazysizes,"[0,]",Maven,"2,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.bower:lazysizes,"[0,]",Maven,"2,Apr,2020"
M,Cross-site Scripting (XSS),froala-editor,&lt;3.2.2,npm,"2,Apr,2020"
H,Cross-site Scripting (XSS),abe,"[0,]",pip,"2,Apr,2020"
H,Cross-site Scripting (XSS),markdown2,"[0, 2.3.9)",pip,"2,Apr,2020"
M,Cross-site Scripting (XSS),svg2png,*,npm,"1,Apr,2020"
C,Cross-site Scripting (XSS),phpbb/phpbb,&lt;3.2.8,Composer,"2,Mar,2020"
M,Cross-site Scripting (XSS),opencart/opencart,&gt;&#x3D;0.0.0,Composer,"1,Mar,2020"
M,Cross-site Scripting (XSS),dolibarr/dolibarr,&lt;10.0.4,Composer,"1,Mar,2020"
M,Cross-site Scripting (XSS),dolibarr/dolibarr,&lt;10.0.3,Composer,"1,Mar,2020"
M,Cross-site Scripting (XSS),dolibarr/dolibarr,&lt;10.0.3,Composer,"1,Mar,2020"
M,Cross-site Scripting (XSS),com.sonyericsson.jenkins.plugins.bfa:build-failure-analyzer,"[,1.16.0)",Maven,"0,May,2018"
C,Cross-site Scripting (XSS),react-svg,&lt;2.2.18,npm,"0,May,2018"
C,Cross-site Scripting (XSS),org.webjars.npm:react-svg,"[0,]",Maven,"0,May,2018"
M,Cross-site Scripting (XSS),ckeditor-dev,&gt;&#x3D;4.5.11 &lt;4.9.2,npm,"0,May,2018"
M,Cross-site Scripting (XSS),drupal/core,"&lt;8.4.7,&gt;&#x3D;8.5.0, &lt;8.5.2",Composer,"0,May,2018"
M,Cross-site Scripting (XSS),microsoft.aspnet.mvc.zh-hant,"[2,2.0.60814.0),[3,3.0.50813.1),[4,4.0.40804.0),[5,5.0.20821.0),[5.1,5.1.20821.0)",NuGet,"1,Oct,2014"
M,Cross-site Scripting (XSS),microsoft.aspnet.mvc.zh-hans,"[2,2.0.60814.0),[3,3.0.50813.1),[4,4.0.40804.0),[5,5.0.20821.0),[5.1,5.1.20821.0)",NuGet,"1,Oct,2014"
M,Cross-site Scripting (XSS),microsoft.aspnet.mvc.core,"[2,2.0.60814.0),[3,3.0.50813.1),[4,4.0.40804.0),[5,5.0.20821.0),[5.1,5.1.20821.0)",NuGet,"1,Oct,2014"
M,Cross-site Scripting (XSS),microsoft.aspnet.mvc,"[2,2.0.60814.0),[3,3.0.50813.1),[4,4.0.40804.0),[5,5.0.2),[5.1,5.1.3)",NuGet,"1,Oct,2014"
M,Cross-site Scripting (XSS),sidekiq-pro,&lt; 1.9.1,RubyGems,"1,Oct,2014"
M,Cross-site Scripting (XSS),ajenti,"[1.2.20.0,1.2.22.13)",pip,"0,Oct,2014"
M,Cross-site Scripting (XSS),express,"&lt;3.11.0,&gt;&#x3D;4.0.0 &lt;4.5.0",npm,"1,Sep,2014"
M,Cross-site Scripting (XSS),org.webjars.npm:express,"(,3.11.0),[4.0.0, 4.5.0)",Maven,"1,Sep,2014"
M,Cross-site Scripting (XSS),rails-html-sanitizer,"&lt; 1.0.3, &gt;&#x3D; 1.0.2",RubyGems,"2,Jan,2016"
M,Cross-site Scripting (XSS),rails-html-sanitizer,&lt; 1.0.3,RubyGems,"2,Jan,2016"
M,Cross-site Scripting (XSS),rails-html-sanitizer,&lt; 1.0.3,RubyGems,"2,Jan,2016"
M,Cross-site Scripting (XSS),exceljs,&lt;1.6.0,npm,"0,Aug,2018"
M,Cross-site Scripting (XSS),org.webjars.npm:exceljs,"[,1.6.0)",Maven,"0,Aug,2018"
M,Cross-site Scripting (XSS),intelliants/subrion,&lt;4.2.2,Composer,"0,Aug,2018"
M,Cross-site Scripting (XSS),apache-airflow,"[,1.9.0)",pip,"0,Aug,2018"
M,Cross-site Scripting (XSS),intelliants/subrion,&gt;&#x3D;0.0.0,Composer,"0,Aug,2018"
M,Cross-site Scripting (XSS),dotnetnuke.core,"[,8.0.1)",NuGet,"0,Aug,2018"
M,Cross-site Scripting (XSS),dotnetnuke.core,"[,7.4.0)",NuGet,"0,Aug,2018"
M,Cross-site Scripting (XSS),paypal/permissions-sdk-php,&lt;&#x3D;3.9.1,Composer,"0,Aug,2018"
M,Cross-site Scripting (XSS),paypal/invoice-sdk-php,&lt;&#x3D;3.9.0,Composer,"0,Aug,2018"
